,text,term,polarity
786,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,-1
787,"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,-1
788,"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,-1
789,"the key bindings take a little getting used to, but have loved the Macbook Pro.",key bindings,-1
790,Keyboard is reasonable size.,Keyboard,1
791,Keyboard is reasonable size.,size,1
792,I find myself using the 10-key more than I thought I would.,10-key,1
793,Fan noise: The fan made a constant hissing noise in the background.,Fan,-1
794,Fan noise: The fan made a constant hissing noise in the background.,fan,-1
795,"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,1
796,"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,1
797,It has a .1 ghz faster processor and a stock 500gb hard drive.,processor,1
798,It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,1
799,The feature are good enough for what I need.,feature,1
800,"Finally, the biggest problem has been tech support.",tech support,-1
801,""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,-1
802,With Windows laptops a wireless mouse is an absolute must.,wireless mouse,0
803,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,1
804,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,1
805,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,0
806,"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,0
807,But if you're willing to pay another 200 dollar for a windows disc.,windows disc,0
808,Very good quality and well made.,quality,1
809,"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,1
810,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,0
811,It had the full sized touch pad with 2 buttons instead of just one.,touch pad,0
812,"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,0
813,It was super easy to set up and Is really easy to get used to.,set up,1
814,"The only thing that can be updated is the video, other than that you're all set.",video,-1
815,Its a good laptop for its value.,value,1
816,Then the hard drive failed;,hard drive,-1
817,"Plain and simple, it(laptop) runs great and loads fast.",runs,1
818,"Plain and simple, it(laptop) runs great and loads fast.",loads,1
819,of course my warranty runs out next month.,warranty,0
820,The capabilities using that program alone made me want a Mac.,program,1
821,"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,0
822,"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,-1
823,"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,1
824,This is a great value for the money.,value,1
825,"It was a great laptop, ran great and was really fast.",ran,1
826,The battery has never worked well.,battery,-1
827,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,company,-1
828,The only problem is a lack of screen resolutions!,screen resolutions,-1
829,"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,1
830,Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,-1
831,Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,-1
832,"It has many great programs, such as ILife, iPhotos and others.",programs,1
833,"It has many great programs, such as ILife, iPhotos and others.",ILife,1
834,"It has many great programs, such as ILife, iPhotos and others.",iPhotos,1
835,"The processor went on me, the fan went and the motherboard went.",processor,-1
836,"The processor went on me, the fan went and the motherboard went.",fan,-1
837,"The processor went on me, the fan went and the motherboard went.",motherboard,-1
838,It is very well built.,built,1
839,I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,1
840,The screen resolution was exactly what I was looking for.,screen resolution,1
841,"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Snow Leopard,1
842,"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,-1
